Squirrel_Id,Snake_ID,Squirrel_Pop,Snake_Pop,Snake_Elevation,Squirrel_Elevation,PairedGeoDistance,SnakeElevType,SquirrelElevType,Comparison_Type, Baseline_Metalloproteinase Activity ,Metalloproteinase_Activity_Serum_Present,Change_in_Activity
5,64,Blue Oaks,Blue Oaks,763,763,0,High,High,Sympatric,805.47,810.04,4.57
5,79,Blue Oaks,Chico Creek,381,763,271595.77,Low,High,AD,829.12,958.62,129.5
5,111,Blue Oaks,Chimineas,810,763,292125.08,High,High,AS,1196.65,1111.32,-85.33
5,123,Blue Oaks,Hopland REC,253,763,217072.61,Low,High,AD,410.26,227.04,-183.22
5,139,Blue Oaks,Humboldt Co,645,763,415286.28,High,High,AS,847.82,714.01,-133.81
5,182,Blue Oaks,McLaughlin Res,715,763,173980.59,High,High,AS,1764.36,1986.79,222.43
5,225,Blue Oaks,Cantua Creek,530,763,149801.36,High,High,AS,1065.59,906.53,-159.06
5,240,Blue Oaks,San Joaquin Exp R,323,763,180548.48,Low,High,AD,447.01,297.11,-149.9
5,266,Blue Oaks,Sedgwick,332,763,334859.89,Low,High,AD,706.13,623.62,-82.51
5,286,Blue Oaks,Sutter Buttes,85,763,208801.77,Low,High,AD,440.74,211.89,-228.85
5,315,Blue Oaks,Vandenberg,385,763,326350.49,Low,High,AD,999.97,681.51,-318.46
5,331,Blue Oaks,Windwolves,715,763,352468.49,High,High,AS,477.38,319.94,-157.44
9,42,Blue Oaks,Blue Oaks,763,763,0,High,High,Sympatric,1398.71,1466.55,67.84
9,93,Blue Oaks,Chico Creek,381,763,271595.77,Low,High,AD,979.46,1148.25,168.79
9,105,Blue Oaks,Chimineas,810,763,292125.08,High,High,AS,1475,1054.69,-420.31
9,127,Blue Oaks,Hopland REC,253,763,217072.61,Low,High,AD,859.56,767.58,-91.98
9,161,Blue Oaks,Humboldt Co,645,763,415286.28,High,High,AS,275.39,192.95,-82.44
9,184,Blue Oaks,McLaughlin Res,715,763,173980.59,High,High,AS,905.91,562.05,-343.86
9,223,Blue Oaks,Cantua Creek,530,763,149801.36,High,High,AS,1031.72,585.74,-445.98
9,242,Blue Oaks,San Joaquin Exp R,323,763,180548.48,Low,High,AD,489.33,224.95,-264.38
9,268,Blue Oaks,Sedgwick,332,763,334859.89,Low,High,AD,474.62,279.17,-195.45
9,288,Blue Oaks,Sutter Buttes,85,763,208801.77,Low,High,AD,771.87,631.05,-140.82
9,300,Blue Oaks,Vandenberg,385,763,326350.49,Low,High,AD,1031.86,544.2,-487.66
9,319,Blue Oaks,Windwolves,715,763,352468.49,High,High,AS,1060.28,793.62,-266.66
18,44,Blue Oaks,Blue Oaks,763,763,0,High,High,Sympatric,1052.02,1226.6,174.58
18,82,Blue Oaks,Chico Creek,381,763,271595.77,Low,High,AD,678.73,540.4,-138.33
18,114,Blue Oaks,Chimineas,810,763,292125.08,High,High,AS,705.51,557.91,-147.6
18,131,Blue Oaks,Hopland REC,253,763,217072.61,Low,High,AD,262.06,504.19,242.13
18,152,Blue Oaks,Humboldt Co,645,763,415286.28,High,High,AS,494.98,407.36,-87.62
18,181,Blue Oaks,McLaughlin Res,715,763,173980.59,High,High,AS,270.64,227.18,-43.46
